id,Title
1,Cowboy Bebop
5,Cowboy Bebop: The Movie
6,Trigun
7,Witch Hunter Robin
8,Beet the Vandel Buster
15,Eyeshield 21
16,Honey and Clover
17,Hungry Heart: Wild Striker
18,Initial D Fourth Stage
19,Monster
20,Naruto
21,One Piece
22,The Prince of Tennis
23,Ring ni Kakero 1
24,School Rumble
25,Desert Punk
26,Texhnolyze
27,Trinity Blood
28,Yakitate!! Japan
29,Zipang
30,Neon Genesis Evangelion
31,Neon Genesis Evangelion: Death & Rebirth
32,Neon Genesis Evangelion: The End of Evangelion
33,Berserk
43,Ghost in the Shell
44,Samurai X: Trust and Betrayal
45,Rurouni Kenshin
46,Samurai X: The Motion Picture
47,Akira
48,.hack//Sign
49,Oh! My Goddess
50,Ah! My Goddess
51,Angel Sanctuary
52,Battle Doll Angelic Layer
53,Ai Yori Aoshi
54,Appleseed (Movie)
55,Arc the Lad
56,Avenger
57,Beck: Mongolian Chop Squad
58,Blue Gender
59,Chobits
60,Chrono Crusade
61,D.N.Angel
62,D.C.~Da Capo~
63,DearS
64,Rozen Maiden
65,Rozen Maiden: Träumend
66,Azumanga Daioh: The Animation
67,Basilisk
68,Black Cat
69,Cluster Edge
71,Full Metal Panic!
72,Full Metal Panic? Fumoffu
73,Full Metal Panic! The Second Raid
74,Gakuen Alice
75,Fafner
76,Magical Girl Lyrical Nanoha
77,Magical Girl Lyrical Nanoha A's
79,Shuffle!
80,Mobile Suit Gundam
81,Mobile Suit Gundam: The 08th MS Team
82,Mobile Suit Gundam 0080: War in the Pocket
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report
84,Mobile Suit Gundam 0083: Stardust Memory
85,Mobile Suit Zeta Gundam
86,Mobile Suit Gundam ZZ
87,Mobile Suit Gundam: Char's Counterattack
88,Mobile Suit Gundam F91
89,Mobile Suit Victory Gundam
90,Mobile Suit Gundam Wing
91,Mobile Suit Gundam Wing: Endless Waltz
92,After War Gundam X
93,Mobile Suit Gundam SEED
94,Mobile Suit Gundam SEED Destiny
95,∀ Gundam
96,Mobile Fighter G Gundam
97,Last Exile
98,My-Hime
99,My-Otome
100,Prétear: The New Legend of Snow White
101,Air
102,Aishiteruze Baby★★
103,Red Riding Hood Chacha
104,"Ceres, Celestial Legend"
105,Boys Be...
106,Hana yori Dango
107,Jing: King of Bandits
108,Jing: King of Bandits - Seventh Heaven
109,Burst Angel
110,Chuuka Ichiban!
111,Corrector Yui
112,The Cosmopolitan Prayers
113,Stellvia
114,Cromartie High School
115,El Hazard: The Alternative World
116,El-Hazard: The Wanderers
117,El Hazard: The Magnificent World
118,El Hazard 2: The Magnificent World
119,Final Approach
120,Fruits Basket
121,Fullmetal Alchemist
122,Searching for the Full Moon
123,Mysterious Play
124,Mysterious Play: Eikoden
125,Twin Love
126,Futakoi Alternative
127,Gate Keepers
128,Gate Keepers 21
129,Saiyuki
130,Saiyuki Reload
131,Saiyuki Gunlock
132,GetBackers
133,Green Green
134,Gunslinger Girl
